2015-06-04 16:33:10,411 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.orange:OSAC:0.0.1-SNAPSHOT @ C:\My Program Files\OSAC-Project\OSAC\pom.xml.
2015-06-04 16:33:14,026 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OSAC/src/main/java
2015-06-04 16:33:14,026 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /OSAC/src/main/resources
2015-06-04 16:33:14,027 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OSAC/src/test/java
2015-06-04 16:33:14,053 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.orange:OSAC:0.0.1-SNAPSHOT @ C:\My Program Files\OSAC-Project\OSAC\pom.xml.
2015-06-04 16:33:14,966 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2015-06-04 16:33:20,721 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.orange:OSAC:0.0.1-SNAPSHOT @ C:\My Program Files\OSAC-Project\OSAC\pom.xml.
2015-06-04 16:33:22,182 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-04 16:33:22,187 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-06-04 16:33:22,199 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-04 16:33:22,200 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\My Program Files\OSAC-Project\OSAC\src\test\resources
